Date_Key,Full_Date,Day,Month,Month_Name,Year,Week_Number,Day_Of_Week
1,2024-11-01,1,11,November,2024,44,Friday
2,2024-11-02,2,11,November,2024,44,Saturday
3,2024-11-03,3,11,November,2024,44,Sunday
4,2024-11-04,4,11,November,2024,45,Monday
5,2024-11-05,5,11,November,2024,45,Tuesday
6,2024-11-06,6,11,November,2024,45,Wednesday
7,2024-11-07,7,11,November,2024,45,Thursday
8,2024-11-08,8,11,November,2024,45,Friday
9,2024-11-09,9,11,November,2024,45,Saturday
10,2024-11-10,10,11,November,2024,45,Sunday
11,2024-11-11,11,11,November,2024,46,Monday
12,2024-11-12,12,11,November,2024,46,Tuesday
13,2024-11-13,13,11,November,2024,46,Wednesday
14,2024-11-14,14,11,November,2024,46,Thursday
15,2024-11-15,15,11,November,2024,46,Friday
16,2024-11-16,16,11,November,2024,46,Saturday
17,2024-11-17,17,11,November,2024,46,Sunday
18,2024-11-18,18,11,November,2024,47,Monday
19,2024-11-19,19,11,November,2024,47,Tuesday
20,2024-11-20,20,11,November,2024,47,Wednesday
21,2024-11-21,21,11,November,2024,47,Thursday
22,2024-11-22,22,11,November,2024,47,Friday
23,2024-11-23,23,11,November,2024,47,Saturday
24,2024-11-24,24,11,November,2024,47,Sunday
25,2024-11-25,25,11,November,2024,48,Monday
26,2024-11-26,26,11,November,2024,48,Tuesday
27,2024-11-27,27,11,November,2024,48,Wednesday
28,2024-11-28,28,11,November,2024,48,Thursday
29,2024-11-29,29,11,November,2024,48,Friday
30,2024-11-30,30,11,November,2024,48,Saturday
